City,State/Province,Country/Retion,Latitude,Longitude,Class Year,Class Year Date
Kafr El Dawwar,,Egypt,,,2020,1/1/2020
San Salvador,,El Salvador,,,2013,1/1/2013
Lakenheath,,England,,,1988,1/1/1988
London,,England,,,1970,1/1/1970
London,,England,,,1971,1/1/1971
London,,England,,,1972,1/1/1972
London,,England,,,1976,1/1/1976
London,,England,,,1981,1/1/1981
London,,England,,,1986,1/1/1986
New Barnet,,England,,,1981,1/1/1981
South Ascot,,England,,,1974,1/1/1974
Addis Ababa,,Ethiopia,,,2015,1/1/2015
d'Armagnac,,France,,,2014,1/1/2014
d'Armagnac,,France,,,2015,1/1/2015
Echenevex,,France,,,2011,1/1/2011
Garches,,France,,,2003,1/1/2003
Issy Les Moulineaux,,France,,,2011,1/1/2011
Le Vesinet,,France,,,1976,1/1/1976
Nogent-sur-Marne,,France,,,2013,1/1/2013
Paris,,France,,,1971,1/1/1971
Paris,,France,,,1976,1/1/1976
Paris,,France,,,1976,1/1/1976
Paris,,France,,,1980,1/1/1980
Paris,,France,,,2005,1/1/2005
Paris,,France,,,2006,1/1/2006
Paris,,France,,,2006,1/1/2006
Paris,,France,,,2008,1/1/2008
Paris,,France,,,2010,1/1/2010
Paris,,France,,,2010,1/1/2010
Paris,,France,,,2013,1/1/2013
Paris,,France,,,2015,1/1/2015
Toulouse,,France,,,2004,1/1/2004
Verrieres,,France,,,2007,1/1/2007
Altenholz,,Germany,,,2005,1/1/2005
Bad Homburg,,Germany,,,2020,1/1/2020
Bergkirchen,,Germany,,,1999,1/1/1999
Bonn,,Germany,,,1985,1/1/1985
Frankfurt,,Germany,,,1976,1/1/1976
Frankfurt am Main,,Germany,,,2019,1/1/2019
Freiburg,,Germany,,,2010,1/1/2010
Hannover,,Germany,,,2004,1/1/2004
Heidelberg,,Germany,,,1977,1/1/1977
Horbruch,,Germany,,,1985,1/1/1985
Kaiserslautern,,Germany,,,2000,1/1/2000
Karlsruhe,,Germany,,,2013,1/1/2013
Marbach,,Germany,,,2010,1/1/2010
Schwalbach,,Germany,,,1974,1/1/1974
Starnberg,,Germany,,,2002,1/1/2002
Stuttgart,,Germany,,,1980,1/1/1980
Ueberlingen,,Germany,,,2007,1/1/2007
Voerde,,Germany,,,1997,1/1/1997
Accra,,Ghana,,,2013,1/1/2013
Accra,,Ghana,,,2018,1/1/2018
Ada,,Ghana,,,2014,1/1/2014
Cape Coast,,Ghana,,,2017,1/1/2017
Tema,,Ghana,,,2002,1/1/2002
Athens,,Greece,,,1976,1/1/1976
Thessaloniki,,Greece,,,2015,1/1/2015
Barrigada,,Guam,,,2015,1/1/2015
Hagatna,,Guam,,,2019,1/1/2019
Cristobal,,Guatemala,,,2002,1/1/2002
Guatemala City,,Guatemala,,,1970,1/1/1970
,,Guinea,,,1973,1/1/1973
Tegucigalpa,,Honduras,,,2004,1/1/2004
Central Hong Kong,,Hong Kong,,,2003,1/1/2003
Hong,,Hong Kong,,,1996,1/1/1996
Hong Kong,,Hong Kong,,,2004,1/1/2004
Hong Kong,,Hong Kong,,,2004,1/1/2004
Hong Kong,,Hong Kong,,,2005,1/1/2005
Hong Kong,,Hong Kong,,,2005,1/1/2005
Hong Kong,,Hong Kong,,,2005,1/1/2005
Hong Kong,,Hong Kong,,,2005,1/1/2005
Hong Kong,,Hong Kong,,,2006,1/1/2006
Hong Kong,,Hong Kong,,,2007,1/1/2007
Hong Kong,,Hong Kong,,,2007,1/1/2007
Hong Kong,,Hong Kong,,,2008,1/1/2008
Hong Kong,,Hong Kong,,,2008,1/1/2008
Hong Kong,,Hong Kong,,,2010,1/1/2010
Hong Kong,,Hong Kong,,,2013,1/1/2013
Hong Kong,,Hong Kong,,,2015,1/1/2015
Kowloon,,Hong Kong,,,1979,1/1/1979
Kowloon,,Hong Kong,,,1996,1/1/1996
Kowloon,,Hong Kong,,,1999,1/1/1999
Kowloon,,Hong Kong,,,2011,1/1/2011
Sai Kung,,Hong Kong,,,2010,1/1/2010
Shatin,,Hong Kong,,,1997,1/1/1997
Shatin,,Hong Kong,,,2004,1/1/2004
South,,Hong Kong,,,2018,1/1/2018
Tai Hang,,Hong Kong,,,2017,1/1/2017
Tong,,Hong Kong,,,2015,1/1/2015
Tseung Kwan,,Hong Kong,,,2009,1/1/2009
Tuen Mun,,Hong Kong,,,2007,1/1/2007
Wan Chai,,Hong Kong,,,2019,1/1/2019
Budapest,,Hungary,,,2019,1/1/2019
Kopavogsbaer,,Iceland,,,2020,1/1/2020
Bangalore,,India,,,2006,1/1/2006
Bangalore,,India,,,2009,1/1/2009
Bangalore,,India,,,2012,1/1/2012
Bangalore,,India,,,2012,1/1/2012
Bangalore,,India,,,2013,1/1/2013
Bangalore,,India,,,2014,1/1/2014
Bangalore,,India,,,2018,1/1/2018
Bangalore,,India,,,2019,1/1/2019
Bangalore,,India,,,2020,1/1/2020
Bangalore Karnataka,,India,,,2004,1/1/2004
BangaloreK,,India,,,2015,1/1/2015
Bengaluru,,India,,,2019,1/1/2019
Bhopal,,India,,,2015,1/1/2015
Bombay,,India,,,1987,1/1/1987
Calcutta,,India,,,2000,1/1/2000
Calcutta,,India,,,2006,1/1/2006
Chennai,,India,,,2007,1/1/2007
Chennai,,India,,,2016,1/1/2016
Chennai,,India,,,2016,1/1/2016
Chennai,,India,,,2017,1/1/2017
Dehradun,,India,,,2015,1/1/2015
Delhi,,India,,,2007,1/1/2007
Delhi,,India,,,2016,1/1/2016
Faridabad Haryana,,India,,,2003,1/1/2003
Ghaziabad,,India,,,2014,1/1/2014
Gurgaon,,India,,,2008,1/1/2008
Gurgaon,,India,,,2013,1/1/2013
Gurgaon,,India,,,2015,1/1/2015
Gurgaon,,India,,,2018,1/1/2018
Gurgaon,,India,,,2019,1/1/2019
Gurgaon,,India,,,2019,1/1/2019
Haryana,,India,,,2010,1/1/2010
Himachal Pradesh,,India,,,2006,1/1/2006
Hyderabad,,India,,,1980,1/1/1980
Hyderabad,,India,,,2011,1/1/2011
Jabalpur,,India,,,1978,1/1/1978
Jaipur Rajasthan,,India,,,2001,1/1/2001
Kakinada,,India,,,2019,1/1/2019
Kanpur,,India,,,2008,1/1/2008
Kodaikanal,,India,,,2009,1/1/2009
Kolkata,,India,,,2006,1/1/2006
Kolkata,,India,,,2006,1/1/2006
Kolkata,,India,,,2013,1/1/2013
Kolkata,,India,,,2017,1/1/2017
Kolkata,,India,,,2018,1/1/2018
Kolkata,,India,,,2020,1/1/2020
Maharashtra,,India,,,2005,1/1/2005
Mumbai,,India,,,2001,1/1/2001
Mumbai,,India,,,2002,1/1/2002
Mumbai,,India,,,2002,1/1/2002
Mumbai,,India,,,2002,1/1/2002
Mumbai,,India,,,2002,1/1/2002
Mumbai,,India,,,2005,1/1/2005
Mumbai,,India,,,2007,1/1/2007
Mumbai,,India,,,2007,1/1/2007
Mumbai,,India,,,2008,1/1/2008
Mumbai,,India,,,2008,1/1/2008
Mumbai,,India,,,2008,1/1/2008
Mumbai,,India,,,2009,1/1/2009
Mumbai,,India,,,2010,1/1/2010
Mumbai,,India,,,2011,1/1/2011
Mumbai,,India,,,2013,1/1/2013
Mumbai,,India,,,2020,1/1/2020
Mussoorie,,India,,,2008,1/1/2008
Nagaland,,India,,,2002,1/1/2002
Navi Mumbai,,India,,,2006,1/1/2006
New Delhi,,India,,,1971,1/1/1971
New Delhi,,India,,,2002,1/1/2002
New Delhi,,India,,,2011,1/1/2011
New Delhi,,India,,,2011,1/1/2011
Noida,,India,,,2000,1/1/2000
Panchkula,,India,,,2009,1/1/2009
Thane,,India,,,2014,1/1/2014
Vellore,,India,,,1980,1/1/1980
Jakarta,,Indonesia,,,1996,1/1/1996
Jakarta,,Indonesia,,,1997,1/1/1997
Jakarta,,Indonesia,,,2000,1/1/2000
Jakarta,,Indonesia,,,2010,1/1/2010
Jakarta,,Indonesia,,,2015,1/1/2015
Jakarta,,Indonesia,,,2018,1/1/2018
Jakarta,,Indonesia,,,2019,1/1/2019
Jakarta,,Indonesia,,,2020,1/1/2020
Kota Solok,,Indonesia,,,2015,1/1/2015
Tangerang,,Indonesia,,,2009,1/1/2009
Tehran,,Iran,,,1976,1/1/1976
Donegal,,Ireland,,,2005,1/1/2005
Dublin,,Ireland,,,2009,1/1/2009
Raphoe,,Ireland,,,2002,1/1/2002
Arrabe,,Israel,,,2020,1/1/2020
